-4.44,0.99,2.92,3.24,10.02,2.65,-2.1,-1.76,-3.24,6.95,-1.08,-2.11,-4.92,-13.5,-3.09,-0.47
13.92,1.51,2.93,3.81,-3.15,2.2,-5.39,1.84,-2.7,-0.39,0.02,5.01,-2.22,-0.55,-0.98,0.99
4.57,0.48,-0.62,4.52,1.41,1.35,4.95,1.51,4.12,-1.1,0.46,-0.85,2.38,-5.09,0.7,1.36
6.58,1.48,-0.9,1.74,0.79,1.98,4.1,0.93,0.71,-2.11,-1.8,5.43,2.15,-0.24,0.57,1.43
1.78,2.84,3.61,0.05,-0.33,2.49,0.72,1.28,2.06,3.86,0.57,3.33,-1.26,0.64,-6.14,1.03
4.73,-0.3,-1.23,4.98,-0.09,1.24,-4.92,3.71,-0.58,-0.94,-2.51,8.97,0.97,-0.3,1.61,1.02
0.77,2.94,2.24,4.58,9.39,3.94,-2.53,-1.58,0.37,5.51,0.11,2.68,-6.16,1.54,-3.45,1.43
4.59,-3.77,-0.88,0.7,0.27,3.81,4.26,3.6,4.82,-5.86,-0.81,0.73,-0.21,-1.65,6.14,0.75
10.62,-0.39,2.02,-1.78,0.96,1.48,4.1,3.82,5.84,1.34,2.01,3.25,-5.24,-2.69,-1.98,1.29
0.34,-2.83,2.47,9.82,1.24,3.53,-1.9,-1.31,1.29,0.4,0.53,1.02,10.92,-1.66,5.55,1.85
8.67,-1.14,-1.67,-0.26,-2,2.08,0.65,4.8,0.16,-1.35,1.22,6.81,-1.14,2.89,-0.03,1.49
13.48,-1.11,-0.92,2,-7.21,0.95,5.03,4.81,0.49,-9.22,-0.08,6.73,-0.93,11.34,5.19,2.1
3.17,-0.71,3.01,4.76,3.73,0.96,-6.7,0.3,3.03,-2.03,-0.19,4.02,-0.73,2.04,1.24,1.3
7.09,1.67,2.19,-0.66,1.69,4.19,5.14,-1.88,5.03,1.07,-0.44,6.94,-2.16,1.59,-0.53,2.09
18.62,-0.46,2.29,-0.85,1.96,2.53,0.32,2.8,1.8,0.05,0.56,2.51,-6.51,0.31,-0.47,1.79
15.03,-0.82,3.3,5.67,2.39,0.95,-1.83,2.74,2.37,-0.97,-0.69,2.32,-5.38,6.1,-1,2.03
15.13,0.51,-0.84,0.43,-6.83,2.62,3.44,1.28,2.24,-3.99,-0.37,6.57,-2.48,4.94,2.96,1.94
-1.05,1.63,-3.73,2.91,5.15,0.74,-0.33,3.59,2.65,2.87,1.97,-1.62,-0.87,-6.77,-2.19,0.36
5.81,1.01,1.67,1.57,0.07,0.91,3.25,1.9,0.06,-3.04,0.24,1.76,-0.49,-1,-0.98,0.76
7.99,-1.03,2.83,6.93,-0.66,-0.14,4.06,2.08,3.86,1.55,-0.57,0.48,-0.31,-5.83,-1.69,1.37
-0.65,-2.48,0.87,14.03,3.52,2.18,-4.74,3.24,-0.47,-3.53,2.81,-0.12,-0.09,-6.45,2.83,0.63
4.13,1.32,-2.17,-1.8,2.84,1.62,5.86,1.59,3.55,-0.28,2.08,10.76,0.42,-5.38,0.6,1.53
2.41,-0.04,-2.52,-5.53,10.25,1.41,6.05,4.58,3.74,1.81,2.61,5.01,-4.29,-3.64,-0.89,1.47
5.12,-0.03,2.53,4.47,-3.1,1.09,0.07,2.72,2.36,-0.32,-0.27,2.07,0.87,-0.14,-1.26,0.99
